name,cell type,
I1L,interneuron,
I1R,interneuron,
I2L,interneuron,
I2R,interneuron,
I3,interneuron,
I4,interneuron,
I5,interneuron,
I6,interneuron,
M1,motorneuron,
M2L,motorneuron,
M2R,motorneuron,
M3L,motorneuron,
M3R,motorneuron,
M4,motorneuron,
M5,motorneuron,
MCL,motorneuron,
MCR,motorneuron,
MI,motorneuron,
NSML,interneuron,
NSMR,interneuron,
ASIL,sensory,
ASIR,sensory,
ASJL,sensory,
ASJR,sensory,
AWAL,sensory,
AWAR,sensory,
ASGL,sensory,
ASGR,sensory,
AWBL,sensory,
AWBR,sensory,
ASEL,sensory,
ASER,sensory,
ADFL,sensory,
ADFR,sensory,
AFDL,sensory,
AFDR,sensory,
AWCL,sensory,
AWCR,sensory,
ASKL,sensory,
ASKR,sensory,
ASHL,sensory,
ASHR,sensory,
ADLL,sensory,
ADLR,sensory,
BAGL,sensory,
BAGR,sensory,
URXL,sensory,
URXR,sensory,
ALNL,sensory,
ALNR,sensory,
PLNL,sensory,
PLNR,sensory,
SDQL,sensory,
SDQR,sensory,
AQR,sensory,
PQR,sensory,
ALML,sensory,
ALMR,sensory,
AVM,sensory,
PVM,sensory,
PLML,sensory,
PLMR,sensory,
FLPL,sensory,
FLPR,sensory,
DVA,sensory,
PVDL,sensory,
PVDR,sensory,
ADEL,sensory,
ADER,sensory,
PDEL,sensory,
PDER,sensory,
PHAL,sensory,
PHAR,sensory,
PHBL,sensory,
PHBR,sensory,
PHCL,sensory,
PHCR,sensory,
IL2DL,sensory,
IL2DR,sensory,
IL2L,sensory,
IL2R,sensory,
IL2VL,sensory,
IL2VR,sensory,
CEPDL,sensory,
CEPDR,sensory,
CEPVL,sensory,
CEPVR,sensory,
URYDL,sensory,
URYDR,sensory,
URYVL,sensory,
URYVR,sensory,
OLLL,sensory,
OLLR,sensory,
OLQDL,sensory,
OLQDR,sensory,
OLQVL,sensory,
OLQVR,sensory,
IL1DL,sensory,
IL1DR,sensory,
IL1L,sensory,
IL1R,sensory,
IL1VL,sensory,
IL1VR,sensory,
AINL,interneuron,
AINR,interneuron,
AIML,interneuron,
AIMR,interneuron,
RIH,interneuron,
URBL,interneuron,
URBR,interneuron,
RIR,interneuron,
